document_id,sha256,title,title_source,format,format_group,bytes,relative_path,source_jurisdictions,source_courts,source_collection_ids,source_urls,source_occurrences,source_record_count,metadata_page_count,word_content_controls,word_revision_elements,pdf_xfa,pdf_field_roots,review_status,technical_flags,library_status,language,language_note,title_confidence,title_evidence,publisher_scope_note,source_date,source_date_kind,previous_title,previous_path
sha256:a45473ee68db23bdc73aee7558bd4dfacffbd5bce46461732878b8f99efcc197,a45473ee68db23bdc73aee7558bd4dfacffbd5bce46461732878b8f99efcc197,Attorney Oath on Admission,source label corroborated by document text,pdf,PDF,118977,01-Federal/01-National/PDF/Attorney Oath on Admission.pdf,Federal,National federal collection,NAT:uscourts,https://www.uscourts.gov/sites/default/files/ao153_0.pdf,1,1,1,,,False,8,Original retained; applicability and current version not independently reviewed,,included,English,English detected in extracted document samples,high,"{""source_label"": ""Attorney Oath on Admission"", ""matched_first_page_words"": [""admission"", ""attorney"", ""oath""], ""first_page_word_coverage"": 1.0, ""visible_heading"": """"}",,,,Attorney Oath on Admission,01-Federal/01-National/PDF/Attorney Oath on Admission -- a45473ee68db.pdf
sha256:4eb66d455ed5dabc26f454973160e441570c650fd08ed96a06112add57b7a589,4eb66d455ed5dabc26f454973160e441570c650fd08ed96a06112add57b7a589,Bill of Costs (District Court),source label corroborated by document text,pdf,PDF,514460,01-Federal/01-National/PDF/Bill of Costs (District Court).pdf,Federal,National federal collection,NAT:uscourts,https://www.uscourts.gov/sites/default/files/document/ao-133.pdf,1,1,2,,,False,38,Original retained; applicability and current version not independently reviewed,,included,English,English detected in extracted document samples,high,"{""source_label"": ""Bill of Costs (District Court)"", ""matched_first_page_words"": [""bill"", ""cost"", ""court"", ""district""], ""first_page_word_coverage"": 1.0, ""visible_heading"": """"}",,,,Bill of Costs (District Court),01-Federal/01-National/PDF/Bill of Costs (District Court) -- 4eb66d455ed5.pdf
sha256:31e64697b92249bf5b18f1e2f5e2798fdb906e3ef0347ef3a4ae60d51b828d3f,31e64697b92249bf5b18f1e2f5e2798fdb906e3ef0347ef3a4ae60d51b828d3f,Bill of Costs,source label corroborated by document text,pdf,PDF,39300,01-Federal/01-National/PDF/Bill of Costs.pdf,Federal,National federal collection,NAT:uscourts,https://www.uscourts.gov/sites/default/files/form_b2630_instructions.pdf,1,1,2,,,False,0,Original retained; applicability and current version not independently reviewed,,included,English,English detected in extracted document samples,high,"{""source_label"": ""Bill of Costs"", ""matched_first_page_words"": [""bill"", ""cost""], ""first_page_word_coverage"": 1.0, ""visible_heading"": ""BILL OF COSTS""}",,,,Bill of Costs,01-Federal/01-National/PDF/Bill of Costs -- 31e64697b922.pdf
sha256:7cf2df1aa096d183040352c15d1a444e71a6e2ed8b9803670624b534df16468e,7cf2df1aa096d183040352c15d1a444e71a6e2ed8b9803670624b534df16468e,Bill of Costs,source label corroborated by document text,pdf,PDF,203640,01-Federal/01-National/PDF/Bill of Costs (Variant 2).pdf,Federal,National federal collection,NAT:uscourts,https://www.uscourts.gov/sites/default/files/2024-12/form_b2630_0.pdf,1,1,2,,,False,0,Original retained; applicability and current version not independently reviewed,,included,English,English detected in extracted document samples,high,"{""source_label"": ""Bill of Costs"", ""matched_first_page_words"": [""bill"", ""cost""], ""first_page_word_coverage"": 1.0, ""visible_heading"": ""BILL OF COSTS""}",,,,Bill of Costs,01-Federal/01-National/PDF/Bill of Costs -- 7cf2df1aa096.pdf
sha256:b41677f12daf53aaeb13b9efbc3a96f9672eca6be8f102017f019981b79d7908,b41677f12daf53aaeb13b9efbc3a96f9672eca6be8f102017f019981b79d7908,Certificate of Good Standing (Court of Appeals),source label corroborated by document text,pdf,PDF,28167,01-Federal/01-National/PDF/Certificate of Good Standing (Court of Appeals).pdf,Federal,National federal collection,NAT:uscourts,https://www.uscourts.gov/sites/default/files/ao136a_0.pdf,1,1,1,,,False,9,Original retained; applicability and current version not independently reviewed,,included,English,English detected in extracted document samples,high,"{""source_label"": ""Certificate of Good Standing (Court of Appeals)"", ""matched_first_page_words"": [""appeal"", ""certificate"", ""court"", ""good"", ""standing""], ""first_page_word_coverage"": 1.0, ""visible_heading"": ""AO 136A (Rev. 10/13) Certificate of Good Standing — Court of Appeals""}",,,,Certificate of Good Standing (Court of Appeals),01-Federal/01-National/PDF/Certificate of Good Standing (Court of Appeals) -- b41677f12daf.pdf
sha256:624c2f37bbb1753da34c42078a33256ce6349b525d1dd6bd94f0f918805c0a1f,624c2f37bbb1753da34c42078a33256ce6349b525d1dd6bd94f0f918805c0a1f,Certificate of Good Standing (District Court),source label corroborated by document text,pdf,PDF,1017153,01-Federal/01-National/PDF/Certificate of Good Standing (District Court).pdf,Federal,National federal collection,NAT:uscourts,https://www.uscourts.gov/sites/default/files/ao136.pdf,1,1,1,,,False,12,Original retained; applicability and current version not independently reviewed,,included,English,English detected in extracted document samples,high,"{""source_label"": ""Certificate of Good Standing (District Court)"", ""matched_first_page_words"": [""certificate"", ""court"", ""district"", ""good"", ""standing""], ""first_page_word_coverage"": 1.0, ""visible_heading"": """"}",,,,Certificate of Good Standing (District Court),01-Federal/01-National/PDF/Certificate of Good Standing (District Court) -- 624c2f37bbb1.pdf
sha256:471dc4ea44ca81b23d59ac163b23758812aedb102d2b31420dcb59919e922f21,471dc4ea44ca81b23d59ac163b23758812aedb102d2b31420dcb59919e922f21,Certification of Judgment for Registration in Another District,source label corroborated by document text,pdf,PDF,36327,01-Federal/01-National/PDF/Certification of Judgment for Registration in Another District.pdf,Federal,National federal collection,NAT:uscourts,https://www.uscourts.gov/sites/default/files/form_b2650_0.pdf,1,1,1,,,False,0,Original retained; applicability and current version not independently reviewed,,included,English,English detected in extracted document samples,high,"{""source_label"": ""Certification of Judgment for Registration in Another District"", ""matched_first_page_words"": [""another"", ""certification"", ""district"", ""judgment"", ""registration""], ""first_page_word_coverage"": 1.0, ""visible_heading"": ""CERTIFICATION OF JUDGMENT FOR REGISTRATION IN ANOTHER DISTRICT""}",,,,Certification of Judgment for Registration in Another District,01-Federal/01-National/PDF/Certification of Judgment for Registration in Another District -- 471dc4ea44ca.pdf
sha256:1662e329d23d4529e2b3dbb2e9cac47f963595ce37f4dcd20135c90fee7606c3,1662e329d23d4529e2b3dbb2e9cac47f963595ce37f4dcd20135c90fee7606c3,Complaint for a Civil Case Alleging Breach of Contract,source label corroborated by document text,pdf,PDF,1063434,01-Federal/01-National/PDF/Complaint for a Civil Case Alleging Breach of Contract.pdf,Federal,National federal collection,NAT:uscourts,https://www.uscourts.gov/sites/default/files/complaint_for_a_civil_case_alleging_breach_of_contract.pdf,1,1,5,,,False,75,Original retained; applicability and current version not independently reviewed,,included,English,English detected in extracted document samples,high,"{""source_label"": ""Complaint for a Civil Case Alleging Breach of Contract"", ""matched_first_page_words"": [""alleging"", ""breach"", ""case"", ""civil"", ""complaint"", ""contract""], ""first_page_word_coverage"": 1.0, ""visible_heading"": ""COMPLAINT FOR A CIVIL CASE ALLEGING BREACH OF CONTRACT""}",,,,Complaint for a Civil Case Alleging Breach of Contract,01-Federal/01-National/PDF/Complaint for a Civil Case Alleging Breach of Contract -- 1662e329d23d.pdf
sha256:9370bb09710f693928d19642c75ab87e3fee8cc945eef43c6801062b251770de,9370bb09710f693928d19642c75ab87e3fee8cc945eef43c6801062b251770de,Complaint for a Civil Case Alleging Negligence,source label corroborated by document text,pdf,PDF,1051737,01-Federal/01-National/PDF/Complaint for a Civil Case Alleging Negligence.pdf,Federal,National federal collection,NAT:uscourts,https://www.uscourts.gov/sites/default/files/complaint_for_a_civil_case_alleging_negligence.pdf,1,1,5,,,False,73,Original retained; applicability and current version not independently reviewed,,included,English,English detected in extracted document samples,high,"{""source_label"": ""Complaint for a Civil Case Alleging Negligence"", ""matched_first_page_words"": [""alleging"", ""case"", ""civil"", ""complaint"", ""negligence""], ""first_page_word_coverage"": 1.0, ""visible_heading"": ""COMPLAINT FOR A CIVIL CASE ALLEGING NEGLIGENCE""}",,,,Complaint for a Civil Case Alleging Negligence,01-Federal/01-National/PDF/Complaint for a Civil Case Alleging Negligence -- 9370bb09710f.pdf
sha256:ea7380e63823834736ac7d241fde3de2b89d86f8a69503fd318eb6da2c66e179,ea7380e63823834736ac7d241fde3de2b89d86f8a69503fd318eb6da2c66e179,Confidentiality Regulations for Pretrial Services Information 152.17 Kb,source label corroborated by document text,pdf,PDF,155821,01-Federal/01-National/PDF/Confidentiality Regulations for Pretrial Services Information 152.17 Kb.pdf,Federal,National federal collection,NAT:uscourts_national,https://www.uscourts.gov/sites/default/files/guide-vol08a-ch02-sec240-confidentialityregs_0.pdf,1,1,12,,,False,0,Original retained; applicability and current version not independently reviewed,,included,English,English detected in extracted document samples,high,"{""source_label"": ""Confidentiality Regulations for Pretrial Services Information 152.17 KB"", ""matched_first_page_words"": [""confidentiality"", ""information"", ""pretrial"", ""regulation"", ""service""], ""first_page_word_coverage"": 1.0, ""visible_heading"": ""Confidentiality of Pretrial Services Information""}",,,,Confidentiality Regulations for Pretrial Services Information 152.17 KB,01-Federal/01-National/PDF/Confidentiality Regulations for Pretrial Services Information 152.17 KB -- ea7380e63823.pdf
sha256:a6f417607a71c05a3a54df68a43ec67e691dcf276c46a415e78038ae4f9305f4,a6f417607a71c05a3a54df68a43ec67e691dcf276c46a415e78038ae4f9305f4,Federal Rules of Appellate Procedure with Forms,manual official-source document review,pdf,PDF,3834395,01-Federal/01-National/PDF/Federal Rules of Appellate Procedure with Forms.pdf,Federal,National federal collection,NAT:uscourts | NAT:uscourts_national,https://www.uscourts.gov/sites/default/files/document/federal-rules-of-appellate-procedure.pdf,1,2,80,,,False,0,Original retained; applicability and current version not independently reviewed,,included,English,"Manual visual inspection of rendered PDF cover confirms English title Federal Rules of Appellate Procedure with Forms and December 1, 2025 edition. Official current-rules landing page independently identifies the title.",high,"Manual visual inspection of rendered PDF cover confirms English title Federal Rules of Appellate Procedure with Forms and December 1, 2025 edition. Official current-rules landing page independently identifies the title.","Currently linked by the official source on the observation date; use the stated edition and check subsequent changes. Landing page says last amended in 2025. Use the primary rulebook link; a separate 2024 related-download link is older. Original selected rulebook edition is December 1, 2025; last-amended year is kept separately.",2025-12-01,rulebook_edition,Federal Rules of Appellate Procedure,01-Federal/01-National/PDF/Federal Rules of Appellate Procedure -- a6f417607a71.pdf
sha256:e78659c1dcf9ee050415d2f4916776f5f55989bde21d5c8fe025b5d14ad9acd3,e78659c1dcf9ee050415d2f4916776f5f55989bde21d5c8fe025b5d14ad9acd3,Federal Rules of Bankruptcy Procedure 592.26 Kb,source label corroborated by document text,pdf,PDF,606473,01-Federal/01-National/PDF/Federal Rules of Bankruptcy Procedure 592.26 Kb.pdf,Federal,National federal collection,NAT:uscourts_national,https://www.uscourts.gov/sites/default/files/2025-02/federal-rules-of-bankruptcy-procedure-dec-1-2024_0.pdf,1,1,166,,,False,1,Original retained; applicability and current version not independently reviewed,,included,English,English detected in extracted document samples,high,"{""source_label"": ""Federal Rules of Bankruptcy Procedure 592.26 KB"", ""matched_first_page_words"": [""bankruptcy"", ""federal"", ""procedure"", ""rule""], ""first_page_word_coverage"": 1.0, ""visible_heading"": """"}",,,,Federal Rules of Bankruptcy Procedure 592.26 KB,01-Federal/01-National/PDF/Federal Rules of Bankruptcy Procedure 592.26 KB -- e78659c1dcf9.pdf
sha256:bd8705fc038d87e4fe222a7ea2e4324222c9430e2373fce56826bd2dfa2f8baf,bd8705fc038d87e4fe222a7ea2e4324222c9430e2373fce56826bd2dfa2f8baf,Federal Rules of Civil Procedure,manual official-source document review,pdf,PDF,415707,01-Federal/01-National/PDF/Federal Rules of Civil Procedure.pdf,Federal,National federal collection,NAT:uscourts | NAT:uscourts_national,https://www.uscourts.gov/sites/default/files/document/federal-rules-of-civil-procedure.pdf,1,2,142,,,False,0,Original retained; applicability and current version not independently reviewed,,included,English,"Official English title and readable first-page document text inspected; this is a language/title check, not a full legal-content review.",high,"Official English title and readable first-page document text inspected; this is a language/title check, not a full legal-content review.","Currently linked by the official source on the observation date; use the stated edition and check subsequent changes. Landing page: rules last amended in 2025; related-download label explicitly says 'Pamphlet, Dec. 1, 2025'. Original selected rulebook edition is December 1, 2025; last-amended year is kept separately.",2025-12-01,rulebook_edition,Federal Rules of Civil Procedure,01-Federal/01-National/PDF/Federal Rules of Civil Procedure -- bd8705fc038d.pdf
sha256:f6876184ae53b0e268cd5688e5bd7dba768ce15b12f5cfbb7ba6db0650de4ad1,f6876184ae53b0e268cd5688e5bd7dba768ce15b12f5cfbb7ba6db0650de4ad1,Federal Rules of Evidence,manual official-source document review,pdf,PDF,165892,01-Federal/01-National/PDF/Federal Rules of Evidence.pdf,Federal,National federal collection,NAT:uscourts | NAT:uscourts_national,https://www.uscourts.gov/sites/default/files/document/federal-rules-of-evidence.pdf,1,2,44,,,False,0,Original retained; applicability and current version not independently reviewed,,included,English,"Official English title and readable first-page document text inspected; this is a language/title check, not a full legal-content review.",high,"Official English title and readable first-page document text inspected; this is a language/title check, not a full legal-content review.","Currently linked by the official source on the observation date; use the stated edition and check subsequent changes. Landing page says last amended in 2024; exact cover edition will be recorded from original PDF. Original selected rulebook edition is December 1, 2025; last-amended year is kept separately.",2025-12-01,rulebook_edition,Federal Rules of Evidence,01-Federal/01-National/PDF/Federal Rules of Evidence -- f6876184ae53.pdf
sha256:498c234403ebe33b6c64bc4727f9f888f56f72087938454feed31582520478d8,498c234403ebe33b6c64bc4727f9f888f56f72087938454feed31582520478d8,Interim Rule 1007-I 101.61 Kb,source label corroborated by document text,pdf,PDF,104048,01-Federal/01-National/PDF/Interim Rule 1007-I 101.61 Kb.pdf,Federal,National federal collection,NAT:uscourts_national,https://www.uscourts.gov/sites/default/files/interim-bankruptcy-rule-1007-i_0.pdf,1,1,4,,,False,0,Original retained; applicability and current version not independently reviewed,,included,English,English detected in extracted document samples,high,"{""source_label"": ""Interim Rule 1007-I 101.61 KB"", ""matched_first_page_words"": [""interim"", ""rule""], ""first_page_word_coverage"": 1.0, ""visible_heading"": """"}",,,,Interim Rule 1007-I 101.61 KB,01-Federal/01-National/PDF/Interim Rule 1007-I 101.61 KB -- 498c234403eb.pdf
sha256:b168d6d60f7dd581acb01c9e2322d379e6a8d89f5e3ade1867e7d7acdfc1e71a,b168d6d60f7dd581acb01c9e2322d379e6a8d89f5e3ade1867e7d7acdfc1e71a,Judgment by Default - Clerk,source label corroborated by document text,pdf,PDF,34766,01-Federal/01-National/PDF/Judgment by Default - Clerk.pdf,Federal,National federal collection,NAT:uscourts,https://www.uscourts.gov/sites/default/files/form_b2610a_0.pdf,1,1,1,,,False,0,Original retained; applicability and current version not independently reviewed,,included,English,English detected in extracted document samples,high,"{""source_label"": ""Judgment by Default - Clerk"", ""matched_first_page_words"": [""clerk"", ""default"", ""judgment""], ""first_page_word_coverage"": 1.0, ""visible_heading"": """"}",,,,Judgment by Default - Clerk,01-Federal/01-National/PDF/Judgment by Default - Clerk -- b168d6d60f7d.pdf
sha256:9499a229fad452c2afa7c47ede327d3d24056bb4a1a75d93f3f15512522b7b5a,9499a229fad452c2afa7c47ede327d3d24056bb4a1a75d93f3f15512522b7b5a,Judgment by Default - Judge,source label corroborated by document text,pdf,PDF,33893,01-Federal/01-National/PDF/Judgment by Default - Judge.pdf,Federal,National federal collection,NAT:uscourts,https://www.uscourts.gov/sites/default/files/form_b2610b_0.pdf,1,1,1,,,False,0,Original retained; applicability and current version not independently reviewed,,included,English,English detected in extracted document samples,high,"{""source_label"": ""Judgment by Default - Judge"", ""matched_first_page_words"": [""default"", ""judge"", ""judgment""], ""first_page_word_coverage"": 1.0, ""visible_heading"": """"}",,,,Judgment by Default - Judge,01-Federal/01-National/PDF/Judgment by Default - Judge -- 9499a229fad4.pdf
sha256:35f1f2042060f763b38fd648942e65abfd60c1d060402928957918c2301026b0,35f1f2042060f763b38fd648942e65abfd60c1d060402928957918c2301026b0,Subpoena for Rule 2004 Examination,source label corroborated by document text,pdf,PDF,38272,01-Federal/01-National/PDF/Subpoena for Rule 2004 Examination.pdf,Federal,National federal collection,NAT:uscourts,https://www.uscourts.gov/sites/default/files/form_b2540_0.pdf,1,1,3,,,False,0,Original retained; applicability and current version not independently reviewed,,included,English,English detected in extracted document samples,high,"{""source_label"": ""Subpoena For Rule 2004 Examination"", ""matched_first_page_words"": [""examination"", ""rule"", ""subpoena""], ""first_page_word_coverage"": 1.0, ""visible_heading"": ""SUBPOENA FOR RULE 2004 EXAMINATION""}",,,,Subpoena For Rule 2004 Examination,01-Federal/01-National/PDF/Subpoena For Rule 2004 Examination -- 35f1f2042060.pdf
