repository,name,path,roles,use_case,inputs_summary,outputs_summary,readiness,license,license_path,copied,runtime_installed,legal_accuracy_validated,integration_notes,source_url,sha256
lq-ai,nda-review,skills/nda-review/SKILL.md,Commercial counsel; vendor diligence,Perspective-calibrated NDA review,Document and discloser/recipient/mutual perspective; optional jurisdiction and firm positions,"Severity findings, citations, proposed redlines and human-review items",Prompt template,Apache-2.0,LICENSE,True,False,False,Concrete multi-pass template with reference checklists. Generic risk thresholds are not firm policy; no supplied legal acceptance results.,https://github.com/LegalQuants/lq-ai/blob/2cc3149238defbbb171ec845cd0d3a43a34054f2/skills/nda-review/SKILL.md,32bdabc4a8ec52509598018e1ff3cc8d7b8209d4b7cae91c20793b703ed24523
lq-ai,nda-snapshot,skills/nda-snapshot/SKILL.md,Document-review teams; litigation support,NDA comparison grid,Selected NDA documents in runtime,"Confidential information, recipients, return/destruction and remedies cells with citations",Configured table template,Apache-2.0,LICENSE,True,False,False,Same coverage limits; its introductory failed-extraction wording conflicts with its final parse-error instruction.,https://github.com/LegalQuants/lq-ai/blob/2cc3149238defbbb171ec845cd0d3a43a34054f2/skills/nda-snapshot/SKILL.md,c9844001c86972fcb9360a9a220012451f12604db9d38dbf0a6f96a174d3731f
lq-ai,playbook-easy-extract,skills/playbook-easy-extract/SKILL.md,Knowledge lawyers; practice leads,Prior-clause extraction,Contract text; optional contract family,"Intermediate issue, verbatim clause text and nullable offsets",Structured extraction prompt,Apache-2.0,LICENSE,True,False,False,Runtime uses overlapping spans and model-generated offsets; no complete verified offset/coverage ledger. Common clauses do not become approved fallback positions automatically.,https://github.com/LegalQuants/lq-ai/blob/2cc3149238defbbb171ec845cd0d3a43a34054f2/skills/playbook-easy-extract/SKILL.md,2f5d1949f2d653ac1baee0a5b708be645ccee8fa825af5ef0a72af323c1cb7b3
lq-ai,skill-creator,skills/skill-creator/SKILL.md,Knowledge lawyers; practice leads; operations,Guided workflow authoring,"Practitioner task, triggers, inputs, outputs, criteria, examples and edge cases",Draft skill folder with references/examples for practitioner review,Meta-prompt template,Apache-2.0,LICENSE,True,False,False,"Core frontmatter lacks lq_ai version/author fields. Use explicit versions, approval state and evaluation fixtures; do not invent substantive legal criteria.",https://github.com/LegalQuants/lq-ai/blob/2cc3149238defbbb171ec845cd0d3a43a34054f2/skills/skill-creator/SKILL.md,744a9c9414d50656b9e2a00d983c9cfbb150d77e7b5667bb0a64e4ec45473039
lq-ai,vendor-privacy-policy-first-pass,skills/vendor-privacy-policy-first-pass/SKILL.md,Privacy counsel; procurement,Privacy-notice triage,"Provided policy text; optional vendor context, regimes and data to share","Short practice summary, cited flags and follow-up questions",Prompt template,Apache-2.0,LICENSE,True,False,False,No browser tool is declared. No security verification. Policy age/length and AI-use severity heuristics must be calibrated rather than treated as legal truth.,https://github.com/LegalQuants/lq-ai/blob/2cc3149238defbbb171ec845cd0d3a43a34054f2/skills/vendor-privacy-policy-first-pass/SKILL.md,f0c1d380fd602aab9e679129ba77a4f97c7240f83584e7528266305f6a1baa8a
lq-skills,action-items-from-client-alert,skills/action-items-from-client-alert/SKILL.md,Legal operations; paralegals; regulatory counsel,Client-alert action checklist,"Alert document; optional organization, jurisdictions, business areas and alert date",Dated mandatory/recommended/informational/conditional items with source citations and owner gaps,Prompt template,Apache-2.0,LICENSE,False,False,False,Useful extraction pattern; source is a secondary alert. Do not reuse as a court-order deadline calculator. Verify underlying law separately.,https://github.com/LegalQuants/lq-skills/blob/a293659770c6d9094e3f9893a0de6e59475e95b6/skills/action-items-from-client-alert/SKILL.md,2b3410558234f2f7c4ffa9f790a63a555bfa64f0c4f77072f4711356c4f87a83
lq-skills,adversarial-qc,skills/adversarial-qc/SKILL.md,Supervising attorneys; reviewers,Independent evidence-check passes,"Deliverable, checklist and approved models","Findings with source evidence, disagreements and reviewer status",Prompt orchestration template,MIT,skills/adversarial-qc/LICENSE,True,False,False,"No executable agent orchestrator is shipped. Agent agreement is not factual/legal validation; use source checks and preserve review gaps, not a certification claim.",https://github.com/LegalQuants/lq-skills/blob/a293659770c6d9094e3f9893a0de6e59475e95b6/skills/adversarial-qc/SKILL.md,4f94fb901dc664c6b7e43ed7eee95b5236fcecc11a0480204ab2abbbde8849b0
lq-skills,bart-statutory-reference-checker,skills/bart-statutory-reference-checker/SKILL.md,Singapore legal teams; integration developers,Statutory reference lookup recipe,"Document citations, scope and statute snapshot date",Citation/status queue via external BART backend,External/private-tool recipe,Apache-2.0,LICENSE,False,False,False,No BART application code here; backend described as private. Do not claim deployable statutory checker from this SKILL.md.,https://github.com/LegalQuants/lq-skills/blob/a293659770c6d9094e3f9893a0de6e59475e95b6/skills/bart-statutory-reference-checker/SKILL.md,78a1e95ed8e888611b1bcae748c4b4cc8e5097bfa0dd8ae71d0cf9066caca29a
lq-skills,building-chronologies,skills/building-chronologies/SKILL.md,Litigators; paralegals; litigation support,Sourced issue/witness chronology,"Matter, dates, source bundle and intended view","Events with event/document dates, quotes, identifiers, conflicts and missing periods",Litigation prompt template,Apache-2.0,skills/building-chronologies/LICENSE,True,False,False,"High-value source schema. The model must preserve uncertain dates, disputed accounts and source coverage; event dedup needs stable IDs and human decisions.",https://github.com/LegalQuants/lq-skills/blob/a293659770c6d9094e3f9893a0de6e59475e95b6/skills/building-chronologies/SKILL.md,ebf1aea132ed3250134e44ac5be8f9e04aa40284eaf2d316c0871245b843072b
lq-skills,california-property-tax,skills/california-property-tax/SKILL.md,Tax counsel,BOE rule/annotation comparison,"Ownership facts, property, jurisdiction and transfer dates",Primary-rule/annotation memo with comparison to facts,Domain-specific research prompt,Apache-2.0,LICENSE,False,False,False,"Reviewed, not selected: useful distinction between rules and annotations, but low mass-tort relevance and no downloaded/current law guaranteed.",https://github.com/LegalQuants/lq-skills/blob/a293659770c6d9094e3f9893a0de6e59475e95b6/skills/california-property-tax/SKILL.md,21e079ca08a1775b53f787adf03a83f878cf78392517b36d3dacc04ae6695480
lq-skills,case-file-analyzer,skills/case-file-analyzer/SKILL.md,Litigation-support engineers,Per-file extraction followed by synthesis,"Approved matter directory, task/state files and configured agent runtime",XML fact/claim/view summaries and synthesis,Explicit proof of concept,Apache-2.0,LICENSE,False,False,False,"Not selected: stateless shell orchestration and synthesis over summaries are not production coverage guarantees. Reuse the two-stage schema idea, not its permissive execution loop.",https://github.com/LegalQuants/lq-skills/blob/a293659770c6d9094e3f9893a0de6e59475e95b6/skills/case-file-analyzer/SKILL.md,10ec726da50d4314cee8b9f5b960a42a8c9e6bcda896a8872cc07cf34de3e6cd
lq-skills,ClassifyCCP,skills/classify-ccp/SKILL.md,Competition litigation counsel,Competition-compliance programme classification,"Complete enforcement document, language and research criteria",Cited offence/defence/remedy/irrelevant label and spreadsheet row,Domain-specific prompt template,MIT,skills/classify-ccp/LICENSE,False,False,False,No extractor implementation shipped; legal taxonomy is specific to competition enforcement. Not selected for general mass-tort use.,https://github.com/LegalQuants/lq-skills/blob/a293659770c6d9094e3f9893a0de6e59475e95b6/skills/classify-ccp/SKILL.md,7472c13cafd99d432f1ac97ffcebe3e64b8abefe84da9d9448393318980e86a2
lq-skills,collating-reviewer-feedback,skills/collating-reviewer-feedback/SKILL.md,Partners; associates; document owners,Reviewer reconciliation checklist,"Known master, each reviewer version and optional external notes","Exact comments/proposals, authors, anchors, conflicts and unresolved decisions",Litigation prompt template,Apache-2.0,skills/collating-reviewer-feedback/LICENSE,True,False,False,"Does not extract OOXML itself or merge DOCX. Implement parser coverage for tables, notes, text boxes and nested revisions; compare against a version hash.",https://github.com/LegalQuants/lq-skills/blob/a293659770c6d9094e3f9893a0de6e59475e95b6/skills/collating-reviewer-feedback/SKILL.md,ff3949ca0a9d7560c5db1729437f18ac0e219d18883559263d47dbb00fca9238
lq-skills,comms-improver,skills/comms-improver/SKILL.md,Client teams; partners; paralegals,Plain-language client update,"Existing text, audience; optional purpose/tone/length/preserved terms",Rewrite plus changed terms and meaning-preservation concerns,Prompt template,Apache-2.0,LICENSE,False,False,False,"Preserve dates, amounts, negations, conditions and legal terms; compare against original. It is not from-scratch advice or AI-detection evasion.",https://github.com/LegalQuants/lq-skills/blob/a293659770c6d9094e3f9893a0de6e59475e95b6/skills/comms-improver/SKILL.md,2d4d876c2f4424ba5036815c5c2ad9357abe35b8a1532f84be42dc43bdb8d6ab
lq-skills,contract-qa,skills/contract-qa/SKILL.md,Litigators; contract counsel; associates,Document-specific answer with cross-reference context,"One document and question; optional contract type, perspective, jurisdiction, prior context","Answer shape matched to question, exact clause citations and open issues",Prompt template,Apache-2.0,LICENSE,False,False,False,Single-document scope. SKILL Type C-F and test-plan Type C-F disagree. Clause/page citations need a structured adapter to the runtime citation engine.,https://github.com/LegalQuants/lq-skills/blob/a293659770c6d9094e3f9893a0de6e59475e95b6/skills/contract-qa/SKILL.md,c08bc37cfe0bd6ae483e1cd9db7332a728f7822823be70be354f2941e0de2a41
lq-skills,coquill-analyzer,skills/coquill/analyzer/SKILL.md,Document automation developers,Template variable discovery,Exactly one trusted template and optional config,"Manifest of variables, conditionals, loops and inferred types",Executable helper with limited grammar,MIT,skills/coquill/analyzer/LICENSE,True,False,False,"Prompt checks multiple templates, but script selects first directory entry. Regex does not fully parse Jinja, filters, expressions or nested scope semantics.",https://github.com/LegalQuants/lq-skills/blob/a293659770c6d9094e3f9893a0de6e59475e95b6/skills/coquill/analyzer/SKILL.md,8d9cfc96637c777dd04e0d907943a30ddadf6a8b5ace3120aef32655c77865b0
lq-skills,coquill-renderer,skills/coquill/renderer/SKILL.md,Document automation developers,DOCX/HTML/Markdown output,"Trusted template, typed context and bounded output folder","Files, leftover-placeholder scan and PDF status",Executable scaffold,MIT,skills/coquill/renderer/LICENSE,True,False,False,"Require StrictUndefined, explicit schema, sandboxed rendering and path containment. Default Jinja can erase missing fields before the leftover scan; DOCX validation misses complex structures.",https://github.com/LegalQuants/lq-skills/blob/a293659770c6d9094e3f9893a0de6e59475e95b6/skills/coquill/renderer/SKILL.md,58eb866141af01a9f43663b54bf0c7b1fce44ade6d008a7eaa9c80f432dc520f
lq-skills,coquill,skills/coquill/SKILL.md,Document automation; knowledge lawyers; case teams,Template interview and document assembly,Approved DOCX/HTML/Markdown template plus manifest/config and confirmed variables,"Rendered document, variable manifest and interview log/transcript",Executable scaffold with concrete scripts,MIT,skills/coquill/LICENSE,True,False,False,"Three Python scripts exist. Renderer silently permits undefined Jinja variables; no server path boundary, sandbox or HTML escaping. Use only as engineering reference until hardened; no speech engine.",https://github.com/LegalQuants/lq-skills/blob/a293659770c6d9094e3f9893a0de6e59475e95b6/skills/coquill/SKILL.md,220f0e74ea36368404e41a3da9bde5571ceadcc1ecf961c4cf5c8fe480010da9
lq-skills,coquill-transcriber,skills/coquill/transcriber/SKILL.md,Document automation developers,Interview audit transcript,Interview-log JSON and template manifest,Human-readable interview and confirmed-value transcript,Executable helper,MIT,skills/coquill/transcriber/LICENSE,True,False,False,Formats an interview log; no audio transcription. Windows time formatting and prefill-only confirmed values require fixes; never present it as realtime voice capability.,https://github.com/LegalQuants/lq-skills/blob/a293659770c6d9094e3f9893a0de6e59475e95b6/skills/coquill/transcriber/SKILL.md,af549c62a332d528353aa1f5ac270d58ee01065835a38a4d1744dfd944bad4fd
lq-skills,corporate-registry-investigation,skills/corporate-registry-investigation/SKILL.md,Investigators; litigation-support teams,Company control and filing evidence map,UK company identifier and Companies House evidence,Officers/control/charges/filings snapshot and investigation leads,Jurisdiction-specific research prompt,Apache-2.0,skills/corporate-registry-investigation/LICENSE,False,False,False,"Reviewed, not selected for US default. Registry self-reports are leads, not confirmed beneficial ownership; no US registry adapter supplied.",https://github.com/LegalQuants/lq-skills/blob/a293659770c6d9094e3f9893a0de6e59475e95b6/skills/corporate-registry-investigation/SKILL.md,3cfffe35c164c4a3c239fc9217a8b68fd1f807615ebc27bcaf321abb9d5197de
lq-skills,customs-trade-law,skills/customs-trade-law/SKILL.md,Trade counsel,HTS/CROSS/CIT authority research,Product facts and classification or research question,"Candidate classifications, ruling chains and case maps",Domain-specific research prompt,Apache-2.0,LICENSE,False,False,False,"Reviewed, not selected. No HTS/CROSS integration implementation; legal authority and version hierarchy require independent verification.",https://github.com/LegalQuants/lq-skills/blob/a293659770c6d9094e3f9893a0de6e59475e95b6/skills/customs-trade-law/SKILL.md,a97d66fa6e6f4a54f7662d11c7bc55a0b458c77bd93ba2abe4cb6f6b196ff031
lq-skills,dpa-checklist-review,skills/dpa-checklist-review/SKILL.md,Privacy counsel; vendor diligence,Processing-agreement term coverage,"DPA/BAA and regime; optional party role, data types and transfer context","Term checklist, gaps, proposed language and overall posture",Prompt template,Apache-2.0,LICENSE,False,False,False,Uses compliance-sounding conclusions despite support-only scope. Replace certification-style labels with term coverage and source/version checks; multiple regimes require separate review.,https://github.com/LegalQuants/lq-skills/blob/a293659770c6d9094e3f9893a0de6e59475e95b6/skills/dpa-checklist-review/SKILL.md,4dd9822f9a6aa2de21fd58b1706b9a97e87c8e53440b786cffc6bc8455f9e49c
lq-skills,enhance-prompt,skills/enhance-prompt/SKILL.md,All firm users; workflow builders,Editable task scoping assistant,"Raw request; optional files, history, skills and jurisdiction",Expansion-or-skip plus concise reasons for changes,Prompt template,Apache-2.0,LICENSE,False,False,False,Good optional preflight; preserve user intent and scope. Do not auto-add sources/tools or increase access based on inferred intent.,https://github.com/LegalQuants/lq-skills/blob/a293659770c6d9094e3f9893a0de6e59475e95b6/skills/enhance-prompt/SKILL.md,50b39c40b0b47a750705548a8b446a8158ce4349261141c1f341254eb957ba90
lq-skills,foreign-law-research,skills/foreign-law-research/SKILL.md,Cross-border research counsel,Source hierarchy and research plan,"Jurisdiction, topic, chosen depth and source access",Question-to-source research plan with verified navigation and confidence labels,Prompt research framework,MIT,skills/foreign-law-research/LICENSE,False,False,False,Chinese/English/local-language routing; no corpus or browser implementation. Reviewed but not selected for this US-litigation packet.,https://github.com/LegalQuants/lq-skills/blob/a293659770c6d9094e3f9893a0de6e59475e95b6/skills/foreign-law-research/SKILL.md,1ceeea429383340c525e294e2fcf93c75aef473c1fedbc66aa0b6b539aa942a5
lq-skills,legal-claim-economics,skills/legal-claim-economics/SKILL.md,Practice leads; finance; settlement teams,Recovery and funding scenario model,"Dated cash flows, cost and recovery scenarios; approved assumptions",Firm/funder/client waterfall and sensitivity inputs,Analytical prompt framework,Apache-2.0,skills/legal-claim-economics/LICENSE,True,False,False,"No numerical engine is shipped. Implement Decimal/validated cash-flow calculations; no invented merits probabilities, liens, tax or fee rules.",https://github.com/LegalQuants/lq-skills/blob/a293659770c6d9094e3f9893a0de6e59475e95b6/skills/legal-claim-economics/SKILL.md,44d84c0bd6bf256d16794a2b69c36d772fb6dceeed6b3f8bc1af00941af95cbf
lq-skills,legal-translation,skills/legal-translation/SKILL.md,Bilingual litigation teams; interpreters,Glossary-led legal translation draft,"Source document, target language and qualified reviewer","Structured translation, protected names/numbers, glossary and translator notes",Prompt template,MIT,skills/legal-translation/LICENSE,True,False,False,No translation model/API or certified translation service is shipped. Terminology and meaning require bilingual review; preserve original sources and pinpoint mapping.,https://github.com/LegalQuants/lq-skills/blob/a293659770c6d9094e3f9893a0de6e59475e95b6/skills/legal-translation/SKILL.md,f2b7deaa1c5ca0318be286e8b2a4c9ad9a3c3d20bd64a034aa0e3371cbc5b2d5
lq-skills,license-comply,skills/license-comply/SKILL.md,Engineering; open-source program office,Python dependency license-audit recipe,Dependency manifests and configured policy,Detected licenses and policy findings,External-tool recipe,Apache-2.0,LICENSE,False,False,False,No CLI implementation here. Root skill license does not license the named external tool/dependencies.,https://github.com/LegalQuants/lq-skills/blob/a293659770c6d9094e3f9893a0de6e59475e95b6/skills/license-comply/SKILL.md,f768da6a95a82d32d8f7ab465d669657017a42c75f58bf305ad310aea7d2f517
lq-skills,local-first-legal-workspace,skills/local-first-legal-workspace/SKILL.md,Platform engineers; information governance,Data-flow and workspace boundary review,"Architecture, storage, network paths and approved policies","Observed data-flow inventory, user controls and unresolved gaps",Review checklist,Apache-2.0,skills/local-first-legal-workspace/LICENSE,True,False,False,Useful integration checklist; local UI does not prove local inference. No formal security certification or network tool implementation.,https://github.com/LegalQuants/lq-skills/blob/a293659770c6d9094e3f9893a0de6e59475e95b6/skills/local-first-legal-workspace/SKILL.md,dad3cc5f96dd33bd193a76b74f6fec0e3db20480ffea70a5a55de808ca5c1d54
lq-skills,lq-board-document-review,skills/lq-board-document-review/SKILL.md,Governance counsel; adapted litigation drafters,Defined terms and cross-reference consistency,Document and related schedules/matrices,Four-category findings; source locators and optional reconciliation output,Prompt template,Apache-2.0,LICENSE,True,False,False,Use mechanics for briefs/orders/settlements. Governance substance and Office companion outputs require separate adapters and matter-specific criteria.,https://github.com/LegalQuants/lq-skills/blob/a293659770c6d9094e3f9893a0de6e59475e95b6/skills/lq-board-document-review/SKILL.md,1b88b292b7cbdb704ed52e3240086a4308fd4f90f9c92386a0e42803b51bf534
lq-skills,lq-governance-playbook-benchmark,skills/lq-governance-playbook-benchmark/SKILL.md,Knowledge lawyers; document reviewers,Preferred/fallback/red-flag benchmark,Target document and separately supplied approved playbook,"Position classifications, gaps and amendment proposals",Prompt template requiring external playbook,Apache-2.0,LICENSE,True,False,False,The seven-item governance playbook is not supplied here. Do not infer it from memory or silently use generic contract positions.,https://github.com/LegalQuants/lq-skills/blob/a293659770c6d9094e3f9893a0de6e59475e95b6/skills/lq-governance-playbook-benchmark/SKILL.md,9aa0405c04d43e9a3fae14bb1b7b0fa5819d354702aad7721e60120e0e6da13a
lq-skills,msa-review-commercial-purchase,skills/msa-review-commercial-purchase/SKILL.md,Commercial counsel; operations,Goods/services purchase review,"Document and buyer/supplier perspective; optional goods/services, industry, PO and firm positions","Framework issues, operational risks, order conflicts and cited drafting proposals",Prompt template,Apache-2.0,LICENSE,False,False,False,Do not confuse this broader goods/services review skill with the services-oriented YAML playbook. Legal rules and industry overlays are not verified by this review.,https://github.com/LegalQuants/lq-skills/blob/a293659770c6d9094e3f9893a0de6e59475e95b6/skills/msa-review-commercial-purchase/SKILL.md,50d12045b7ac165fcb93b07b1a0d986a7d593a79cb2b4834633ad5a762f4bd88
lq-skills,msa-review-saas,skills/msa-review-saas/SKILL.md,Commercial counsel; vendor diligence,SaaS master agreement review,"Document and vendor/customer perspective; optional order form, prior agreements, depth and firm positions",Clause review plus order-form/prior-agreement conflicts and recommendations,Prompt template,Apache-2.0,LICENSE,False,False,False,Related-document precedence pattern is useful. Legal standards and fixed risk thresholds need firm/current-source validation; supports seven named passes despite a six-pass introduction.,https://github.com/LegalQuants/lq-skills/blob/a293659770c6d9094e3f9893a0de6e59475e95b6/skills/msa-review-saas/SKILL.md,58ef58570b6a7fb12783084cc631b529677916f55de206ef4e080baff4fcb241
lq-skills,nda-review,skills/nda-review/SKILL.md,Commercial counsel; vendor diligence,Perspective-calibrated NDA review,Document and discloser/recipient/mutual perspective; optional jurisdiction and firm positions,"Severity findings, citations, proposed redlines and human-review items",Prompt template,Apache-2.0,LICENSE,False,False,False,Concrete multi-pass template with reference checklists. Generic risk thresholds are not firm policy; no supplied legal acceptance results.,https://github.com/LegalQuants/lq-skills/blob/a293659770c6d9094e3f9893a0de6e59475e95b6/skills/nda-review/SKILL.md,6697c565673492e0dd683be10ae1e225a1a429e02224310d39f497610ccd8ddd
lq-skills,office-word-diff,skills/office-word-diff/SKILL.md,Office integration developers,Word-level tracked-edit recipe,"Word context, original/edited content and supported document shape",Proposed Office.js revisions with visible authorship,External-library recipe,Apache-2.0,LICENSE,False,False,False,No library implementation here. Requires independent package/version/license checks and Word integration; stated platform limitations are not verified in this review.,https://github.com/LegalQuants/lq-skills/blob/a293659770c6d9094e3f9893a0de6e59475e95b6/skills/office-word-diff/SKILL.md,f3221afd07a43fb131a0737a130fc7bc6680d4abae30224dcc4e50c589de1bec
lq-skills,proposition-checking,skills/proposition-checking/SKILL.md,Brief writers; research attorneys; second chair,Brief-to-authority and record support review,Draft propositions and cited source text or retrievable authorities,Supported/partial/contradicted/quote-inaccurate/unverified matrix and dependency risks,Litigation prompt template,Apache-2.0,skills/proposition-checking/LICENSE,True,False,False,"Strong distinction between existence, support and applicability. Source unavailable is unverified, not unsupported. It supplies instructions rather than a resolver implementation.",https://github.com/LegalQuants/lq-skills/blob/a293659770c6d9094e3f9893a0de6e59475e95b6/skills/proposition-checking/SKILL.md,b50864876673481e34faa0571aa79028a8d4d0c5d00afeed9c4a3a1c88a43daa
lq-skills,redlines,skills/redlines/SKILL.md,Document automation developers,DOCX tracked-change recipe,Original DOCX and explicit diff/edit set,Native Word revisions,External-library recipe,Apache-2.0,LICENSE,False,False,False,No redline library code shipped. Does not promise tables/notes/cross-reference fidelity. Use source links for a separate dependency review.,https://github.com/LegalQuants/lq-skills/blob/a293659770c6d9094e3f9893a0de6e59475e95b6/skills/redlines/SKILL.md,e2ce283dd730466e294791296941a2810c1f41f3664758a0c2a099d9b47001fb
lq-skills,sgcite,skills/sgcite/SKILL.md,Singapore research teams,eLitigation citation existence recipe,Singapore citations and source access,Case existence/name/pinpoint candidates,External-tool recipe,Apache-2.0,LICENSE,False,False,False,No implementation here; not a US citation resolver or proposition/treatment validator.,https://github.com/LegalQuants/lq-skills/blob/a293659770c6d9094e3f9893a0de6e59475e95b6/skills/sgcite/SKILL.md,c014aad4434e6df6a353a748af016a8f70e6c8ef2d7c7a974f5c37270d878980
